Person	Distance
1019	7639.187278877638
1018	4620.734019474856
2349	5096.774849232757
1017	3178.785115288436
2348	4729.427203801994
1016	11177.202639655163
2347	3095.1315778080425
1015	3827.169650486324
2346	5321.561279317275
1014	4727.840084616117
2345	6242.416016925522
1013	4013.1456560409006
2344	3498.7550769466516
1012	6958.699518870985
2343	9424.16169937747
3674	6798.061793204817
3675	5399.359809634553
3676	3667.1581841014254
3677	6556.936321935473
3678	2407.399234611925
3679	881.2291624505071
3690	7966.603340770926
3691	5393.151992225061
3692	5662.994031434702
3693	5852.082954349864
3694	3973.2594705618003
3695	9074.01817973779
1033	3403.453456835724
2364	2858.7963346294
1032	1979.8359555577083
2363	3325.3947548798196
1031	1298.3500439772497
2362	4497.539948603968
1030	4896.867231684015
2361	2779.278829766085
2360	6640.100627361853
1029	4930.167175267394
1028	5239.386175034208
2359	3855.4905446424164
1027	1135.595355518354
2358	2421.355093466327
1026	1030.7985443470648
2357	1301.6147228427305
1025	3810.2000257910577
2356	4703.286354960479
1024	7292.760615743606
2355	8550.172023776453
1023	6008.664020430615
2354	3590.1551304542077
3685	7187.389809172941
3686	7822.634991598594
3687	2297.8041188390116
3688	7056.71118036331
3689	2840.113832516423
1044	1748.0657199218656
2375	2590.8563568012296
1043	6179.414965437195
2374	5787.6754398032535
1042	2400.810505117418
2373	2005.6110427227595
1041	989.792866637228
2372	1290.5384619614929
1040	1298.4191996178415
2371	7433.660502597787
2370	2576.603247894116
1039	4769.4129942394675
1038	5133.9029995743185
2369	4468.368757799088
1037	8844.553407363805
2368	4929.293637030152
1036	3063.2892285892012
2367	5902.919219654744
1035	4249.775372525805
2366	391.04034457820217
1034	5402.178287350096
2365	2418.334952943493
3696	7970.001864114237
3697	2258.786277175736
3698	4629.187925266857
3699	2650.4599574561585
1055	5033.097726558057
2386	4731.6111189701405
1054	2738.301010638943
2385	7237.3013313013325
1053	4581.148672098883
2384	6642.565072480057
1052	3330.256260848044
2383	2735.50611936826
1051	8639.871344688225
2382	3379.147367332392
1050	2123.1372837349845
2381	6784.243715799928
2380	4438.721125663746
1049	1895.0493930873677
1048	6777.687694120035
2379	7922.860790601431
1047	7559.2137951195355
2378	5345.03967760253
1046	6951.878429408296
2377	1727.0574227019129
1045	4194.74487377315
2376	4353.391192550935
1066	4687.735124864742
2397	2564.8740590811403
1065	6417.498442974976
2396	2309.7892824082646
1064	7690.830718811641
2395	4445.090846484258
1063	399.5401986339621
2394	6798.8036053172755
1062	6320.158166932827
2393	633.2422586776046
1061	2274.3841638351414
2392	818.5270366649555
1060	7175.688655972501
2391	391.04034457820217
2390	4274.745325887747
1059	2816.1322209803934
1058	1054.6283660715887
2389	6183.809070694791
1057	4318.0219307994985
2388	7230.286963479126
1056	2447.344830883083
2387	4355.465465910569
4100	2028.3137823790566
4101	7386.449631294644
4102	5518.907127292319
1077	3479.1887368420125
1076	2425.183246950999
1075	2748.482725558637
1074	4788.812905258364
1073	2236.336182660014
1072	5049.675765829741
1071	3901.216802122959
1070	4115.173895034093
1069	3297.3847197571995
1068	3602.7359548627924
2399	5617.286444348179
1067	1203.714872840179
2398	4413.987429292925
1080	2917.5324981397953
4110	2969.5698518078
4111	4998.010193690723
4112	7932.703278998251
4113	7682.3589267262105
1088	3606.0762407996917
1087	7744.206659781023
1086	1492.9829709738342
1085	2306.4761426752343
1084	4744.201985474101
1083	710.4797405499116
1082	4229.311927269491
1081	2247.2248469522683
1079	3378.651378931968
1078	2694.320479388328
4103	8598.859006264645
4104	4825.8565817579065
4105	4105.211654045791
4106	6773.16175978975
4107	7812.550670470545
4108	960.4343269438183
4109	4664.560397688239
1091	4203.568785075732
1090	6560.3599039465835
4120	6055.980827919158
4121	1972.588848920446
4122	3451.505777042951
4123	4205.17738744137
4124	7174.103397668219
1099	5762.18265857525
1098	7648.311554535188
1097	1577.0937643499085
1096	2782.0338852690966
1095	5649.265193815429
1094	6401.654176578827
1093	4980.791653525686
1092	2731.6462794090394
1089	6287.099838173145
4114	7292.774327901459
4115	5004.144166927456
4116	3419.8769433689627
4117	2931.219197611968
4118	7065.891199410918
4119	4155.958005384238
4130	3528.182478001483
4131	2928.990048227075
4132	846.1077350757772
4133	4927.383138544887
4134	6914.85447466832
4135	3262.508066476388
4125	8884.259796096778
4126	3581.650991261235
4127	5955.533838894719
4128	5357.899035689642
4129	5213.870738108974
4140	1282.4772208483955
4141	1303.8426635620165
4142	768.8173212992419
4143	6492.721167774351
4144	3504.090945236335
4145	3015.43106791068
4146	4196.578460830537
200	1107.575619992357
201	1817.1040507880616
202	5833.400413486737
203	6997.3108080914435
204	2314.0169643245545
205	4923.237794184712
206	2448.759514037589
4136	3630.1923352951844
207	6986.883528706651
4137	3780.4739512511437
208	5082.927212040903
4138	3923.502109441549
209	421.87384572188034
4139	1646.1477769476733
4150	5707.492140039885
4151	8366.819757874673
4152	6900.387194054232
4153	5697.877383640029
4154	5030.329484945283
4155	4246.889310464722
4156	633.2422586776046
4157	2756.046459585673
210	3031.7593638678086
211	7488.769012646547
212	7365.19137177461
213	7519.0470901967565
214	2445.8524884280023
215	5536.84555680457
216	4764.289655836182
217	4000.920091283113
4147	8142.361912849547
218	5417.597825346498
4148	4877.2105612170435
219	3991.7518729767
4149	870.6948198148609
4161	7422.489244770186
4162	5342.065180485823
4163	2856.7743065623804
4164	7951.907467065875
4165	7187.255496289439
4166	6891.283828859192
4167	2083.848214738655
4168	3920.804988152232
4160	3043.311253664656
220	9587.868782932735
221	2573.678288574739
222	3529.6293033815964
223	6253.503921718023
224	2406.1759985519557
225	6197.695639162306
226	2144.1343573319846
227	5576.832447207535
228	4368.764495269179
4158	1424.9584061182823
229	4755.021481861265
4159	4962.419564039437
4172	5812.771809494306
4173	5942.302868505165
4174	4174.442573487982
4175	1585.2087663307252
4176	1211.5014234175392
4177	4475.353832685373
