Person	Distance
2342	3908.9135471896707
1010	732.5814005159592
2341	1366.504002564689
2340	3284.6924681021387
1008	5927.093682385792
2339	0.0
1007	3019.4616945634616
2338	2468.8994855666515
1006	7330.600100590388
2337	4588.772620448588
1005	3447.352946946043
2336	4644.272861618318
1004	1937.0566635984608
2335	3974.689475777274
1003	3544.660206706271
2334	4630.469756355448
1002	1756.5788486091355
2333	1584.6461703321474
1001	3864.852032718619
2332	4307.167291104351
3663	7069.974067959331
4994	9472.053158676188
3664	3952.454280411286
4995	3788.0196133938207
3665	2833.9232454518415
4996	3695.1561185876158
3666	8294.583970897038
4997	1709.705182348861
3667	2333.48011039416
4998	6899.201543461148
3668	2711.6720483249846
4999	4110.827236524932
3669	4172.367800540464
1009	1929.8605394655349
3680	8609.091041794634
3681	6580.2427734417
3682	4591.800307249645
3683	4265.640523346297
3684	0.0
1022	2704.480107491385
2353	5178.381808233439
1021	5652.042575773742
2352	8297.037017694049
1020	5672.299206844724
2351	0.0
2350	3904.907096323453
1019	1382.049469095381
1018	5001.8096086392425
2349	2419.0046100709937
1017	4073.582483630239
2348	3154.384243888959
1016	9464.152969978613
2347	3611.4664516002376
1015	0.0
2346	7116.413630590502
1014	3422.7991458129154
2345	2547.0606594540786
1013	5601.80455900862
2344	4965.616143266738
1012	4193.429994580721
2343	10878.849163022584
3674	5308.761188729802
3675	5117.004963382662
3676	4620.885878110644
3677	4063.2096143764084
3678	9254.012241337008
3679	4951.253668269081
3690	4667.644973938469
3691	2088.536141656986
3692	0.0
3693	8325.643578497335
3694	12223.155991476953
3695	8156.906598489073
1033	2869.7059159994214
2364	3653.376560342872
1032	7627.567169042423
2363	7389.879977327487
1031	3329.4589843317835
2362	2904.730778834384
1030	9437.578212211665
2361	1953.6560130929056
2360	983.5235561546344
1029	6337.964777375437
1028	4665.760919232715
2359	4753.811644269263
1027	4741.487286268932
2358	5659.0557472852415
1026	5648.773778013536
2357	8066.280856119858
1025	6508.172940945666
2356	1893.8463151441833
1024	4170.185809102515
2355	8473.834784322531
1023	4508.671839583374
2354	1224.69118655066
3685	3202.383516203744
3686	5588.137081166093
3687	5080.094940867653
3688	4801.452670802466
3689	2902.2161690564762
1044	7553.478596409494
